Customer_ID,Total_Revenue,Total_Orders,Total_Quantity,First_Purchase,Last_Purchase,Customer_Lifespan_Days,Average_Order_Value,CLV,CLV_Segment
12346.0,-64.68,15,52,2010-02-03 13:08:00,2010-04-10 16:33:00,66.0,-4.312,-64.68,Low Value
12347.0,1323.32,2,828,2010-07-12 14:57:00,2010-07-12 14:57:00,0.0,661.66,1323.32,High Value
12348.0,222.16,1,373,,,,222.16,222.16,Low Value
12349.0,2646.99,4,988,2009-04-12 12:49:00,2009-04-12 12:49:00,0.0,661.7475,2646.99,VIP
12351.0,300.93,1,261,,,,300.93,300.93,Medium Value
12352.0,343.8,2,188,2010-12-11 10:20:00,2010-12-11 10:20:00,0.0,171.9,343.8,Medium Value
12353.0,317.76,1,192,,,,317.76,317.76,Medium Value
12355.0,488.21000000000004,1,303,,,,488.21000000000004,488.21000000000004,Medium Value
12356.0,3562.25,3,1826,2010-11-10 09:42:00,2010-11-11 14:23:00,1.0,1187.4166666666667,3562.25,VIP
12357.0,12079.99,2,3879,,,,6039.995,12079.99,VIP
12358.0,2719.01,3,831,2009-08-12 07:59:00,2010-07-06 12:28:00,328.0,906.3366666666667,2719.01,VIP
12359.0,2469.36,8,914,2009-05-12 13:32:00,2010-12-04 08:40:00,570.0,308.67,2469.36,VIP
12360.0,1550.83,6,1293,2010-12-11 11:31:00,2010-12-11 11:31:00,0.0,258.47166666666664,1550.83,High Value
12361.0,321.35,3,144,2010-03-09 15:19:00,2010-09-05 15:33:00,180.0,107.11666666666667,321.35,Medium Value
12362.0,130.0,1,1,2009-01-12 10:10:00,2009-01-12 10:10:00,0.0,130.0,130.0,Low Value
12366.0,500.24,1,296,,,,500.24,500.24,Medium Value
12368.0,917.6999999999999,1,330,,,,917.6999999999999,917.6999999999999,High Value
12369.0,1791.15,3,1241,2010-08-03 08:09:00,2010-08-03 08:09:00,0.0,597.0500000000001,1791.15,VIP
12370.0,774.62,3,252,2010-09-02 09:41:00,2010-09-02 09:41:00,0.0,258.20666666666665,774.62,High Value
12371.0,2179.42,3,845,2010-04-03 18:23:00,2010-04-03 18:25:00,0.0,726.4733333333334,2179.42,VIP
12373.0,763.0500000000001,2,319,2010-04-02 12:08:00,2010-04-02 12:08:00,0.0,381.52500000000003,763.0500000000001,High Value
12374.0,2246.29,3,1020,,,,748.7633333333333,2246.29,VIP
12376.0,503.15,2,240,,,,251.575,503.15,Medium Value
12377.0,1798.2,2,1161,,,,899.1,1798.2,VIP
12378.0,1407.7,1,787,,,,1407.7,1407.7,High Value
12379.0,767.98,2,408,,,,383.99,767.98,High Value
12380.0,5167.44,10,2199,2010-03-03 12:53:00,2010-03-03 12:53:00,0.0,516.7439999999999,5167.44,VIP
12382.0,-18.38,1,-1,,,,-18.38,-18.38,Low Value
12385.0,1923.4,2,611,,,,961.7,1923.4,VIP
12386.0,258.9,1,214,2010-08-12 09:53:00,2010-08-12 09:53:00,0.0,258.9,258.9,Low Value
12387.0,143.94,1,134,,,,143.94,143.94,Low Value
12388.0,1120.45,2,539,2010-06-05 12:54:00,2010-06-05 12:54:00,0.0,560.225,1120.45,High Value
12389.0,1433.33,3,614,2010-02-11 11:52:00,2010-02-11 11:52:00,0.0,477.77666666666664,1433.33,High Value
12391.0,2286.93,6,912,2010-01-09 12:38:00,2010-04-03 10:34:00,83.0,381.155,2286.93,VIP
12392.0,234.75000000000003,1,73,,,,234.75000000000003,234.75000000000003,Low Value
12393.0,794.15,3,489,2010-04-11 17:10:00,2010-07-10 13:49:00,89.0,264.71666666666664,794.15,High Value
12395.0,2048.64,4,1615,2010-02-08 12:37:00,2010-03-12 16:35:00,32.0,512.16,2048.64,VIP
12396.0,931.43,1,591,2010-03-02 13:22:00,2010-03-02 13:22:00,0.0,931.43,931.43,High Value
12399.0,853.65,3,1020,2010-05-03 08:45:00,2010-08-07 09:13:00,96.0,284.55,853.65,High Value
12400.0,205.25,1,91,,,,205.25,205.25,Low Value
12402.0,1018.55,6,489,2010-06-07 12:15:00,2010-12-11 09:50:00,186.0,169.75833333333333,1018.55,High Value
12403.0,591.6600000000001,1,164,2010-06-07 11:39:00,2010-06-07 11:39:00,0.0,591.6600000000001,591.6600000000001,Medium Value
12404.0,63.24,1,1,,,,63.24,63.24,Low Value
12406.0,2791.46,4,1574,2010-05-11 11:42:00,2010-11-01 14:04:00,174.0,697.865,2791.46,VIP
12408.0,1437.07,5,787,,,,287.414,1437.07,High Value
12409.0,12033.539999999999,6,7484,2010-02-07 15:09:00,2010-08-06 13:40:00,179.0,2005.59,12033.539999999999,VIP
12410.0,320.38,1,130,,,,320.38,320.38,Medium Value
12411.0,346.9,1,138,,,,346.9,346.9,Medium Value
12412.0,1354.15,5,1162,2010-02-11 17:02:00,2010-09-08 14:26:00,208.0,270.83000000000004,1354.15,High Value
12413.0,241.35,1,33,2010-02-11 13:26:00,2010-02-11 13:26:00,0.0,241.35,241.35,Low Value
12414.0,130.0,5,1,2010-02-09 12:22:00,2010-02-09 13:53:00,0.0,26.0,130.0,Low Value
12415.0,19543.84,7,14073,2010-04-11 10:57:00,2010-04-11 10:57:00,0.0,2791.977142857143,19543.84,VIP
12416.0,202.56,1,132,,,,202.56,202.56,Low Value
12417.0,3129.41,15,1337,2009-06-12 10:30:00,2010-12-04 16:04:00,540.0,208.62733333333333,3129.41,VIP
12418.0,1348.37,4,680,2010-12-04 14:49:00,2010-12-05 13:11:00,0.0,337.0925,1348.37,High Value
12419.0,503.01,2,231,,,,251.505,503.01,Medium Value
12421.0,286.56,3,164,,,,95.52,286.56,Medium Value
12422.0,3315.79,18,2221,2010-02-07 09:27:00,2010-10-11 13:19:00,246.0,184.21055555555554,3315.79,VIP
12423.0,763.08,2,454,,,,381.54,763.08,High Value
12424.0,1528.82,5,1275,2009-07-12 14:43:00,2010-09-06 15:15:00,421.0,305.764,1528.82,High Value
12425.0,903.61,2,607,2010-05-10 14:50:00,2010-05-10 14:50:00,0.0,451.805,903.61,High Value
12426.0,728.6800000000001,2,319,2010-03-03 11:22:00,2010-03-03 11:22:00,0.0,364.34000000000003,728.6800000000001,High Value
12427.0,303.5,1,79,2010-03-12 10:44:00,2010-03-12 10:44:00,0.0,303.5,303.5,Medium Value
12429.0,3685.11,6,1667,2010-07-10 15:12:00,2010-11-06 13:29:00,118.0,614.1850000000001,3685.11,VIP
12431.0,4303.02,16,1793,2010-01-07 10:11:00,2010-06-07 11:56:00,151.0,268.93875,4303.02,VIP
12433.0,7052.99,6,6044,2010-01-12 13:24:00,2010-08-12 16:49:00,212.0,1175.4983333333332,7052.99,VIP
12434.0,297.29,1,138,,,,297.29,297.29,Medium Value
12435.0,6096.04,4,2903,2009-02-12 13:58:00,2010-12-03 14:50:00,659.0,1524.01,6096.04,VIP
12437.0,7498.19,28,5013,2009-02-12 16:24:00,2010-11-11 19:12:00,637.0,267.79249999999996,7498.19,VIP
12439.0,1104.48,3,454,,,,368.16,1104.48,High Value
12440.0,768.15,3,308,2010-03-09 13:11:00,2010-08-09 15:57:00,153.0,256.05,768.15,High Value
12441.0,173.55,1,121,2010-08-12 10:45:00,2010-08-12 10:45:00,0.0,173.55,173.55,Low Value
12443.0,485.31,1,182,2009-07-12 15:42:00,2009-07-12 15:42:00,0.0,485.31,485.31,Medium Value
12445.0,293.08000000000004,2,142,2010-04-11 18:11:00,2010-04-11 18:11:00,0.0,146.54000000000002,293.08000000000004,Medium Value
12449.0,768.6,2,729,,,,384.3,768.6,High Value
12450.0,469.07,5,307,2010-03-09 11:52:00,2010-05-11 16:27:00,63.0,93.814,469.07,Medium Value
12451.0,3613.0099999999998,4,2771,2010-02-09 15:35:00,2010-02-09 15:38:00,0.0,903.2524999999999,3613.0099999999998,VIP
12454.0,4292.71,7,2232,2010-09-11 10:06:00,2010-09-11 10:09:00,0.0,613.2442857142858,4292.71,VIP
12455.0,3413.09,4,1213,2010-11-05 15:03:00,2010-11-05 15:03:00,0.0,853.2725,3413.09,VIP
12457.0,554.53,2,243,,,,277.265,554.53,Medium Value
12458.0,830.09,2,480,2010-08-10 11:36:00,2010-09-08 10:33:00,28.0,415.045,830.09,High Value
12459.0,454.36,1,258,,,,454.36,454.36,Medium Value
12460.0,326.65,1,170,2010-09-09 13:51:00,2010-09-09 13:51:00,0.0,326.65,326.65,Medium Value
12466.0,56.73,1,1,,,,56.73,56.73,Low Value
12467.0,0.0,2,0,2010-12-10 15:41:00,2010-12-10 15:41:00,0.0,0.0,0.0,Low Value
12468.0,2900.5099999999998,7,1820,2010-01-07 10:28:00,2010-09-04 10:08:00,239.0,414.3585714285714,2900.5099999999998,VIP
12469.0,3070.54,2,2552,2010-05-07 12:40:00,2010-05-07 12:40:00,0.0,1535.27,3070.54,VIP
12470.0,211.95,1,95,,,,211.95,211.95,Low Value
12471.0,19207.69,81,8493,2009-02-12 14:43:00,2010-12-10 11:10:00,665.0,237.13197530864196,19207.69,VIP
12472.0,10727.21,26,6890,2009-09-12 10:47:00,2010-12-07 10:26:00,450.0,412.585,10727.21,VIP
