Customer_ID,Recency,Frequency,Monetary,Cluster
12346.0,246.0,15,-64.68,0
12347.0,153.0,2,1323.32,1
12349.0,609.0,4,2646.99,0
12352.0,1.0,2,343.8,1
12356.0,31.0,3,3562.25,1
12358.0,159.0,3,2719.01,1
12359.0,8.0,8,2469.36,1
12360.0,1.0,6,1550.83,1
12361.0,98.0,3,321.35,1
12362.0,699.0,1,130.0,0
12369.0,131.0,3,1791.15,1
12370.0,101.0,3,774.62,1
12371.0,252.0,3,2179.42,0
12373.0,254.0,2,763.0500000000001,0
12380.0,284.0,10,5167.44,0
12386.0,122.0,1,258.9,1
12388.0,190.0,2,1120.45,1
12389.0,304.0,3,1433.33,0
12391.0,253.0,6,2286.93,0
12393.0,155.0,3,794.15,1
12395.0,275.0,4,2048.64,0
12396.0,285.0,1,931.43,0
12399.0,127.0,3,853.65,1
12402.0,1.0,6,1018.55,1
12403.0,188.0,1,591.6600000000001,1
12406.0,41.0,4,2791.46,1
12409.0,128.0,6,12033.539999999999,1
12412.0,95.0,5,1354.15,1
12413.0,304.0,1,241.35,0
12414.0,306.0,5,130.0,0
12415.0,245.0,7,19543.84,0
12417.0,8.0,15,3129.41,1
12418.0,7.0,4,1348.37,1
12422.0,62.0,18,3315.79,1
12424.0,97.0,5,1528.82,1
12425.0,216.0,2,903.61,0
12426.0,284.0,2,728.6800000000001,0
12427.0,275.0,1,303.5,0
12429.0,36.0,6,3685.11,1
12431.0,188.0,16,4303.02,1
12433.0,122.0,6,7052.99,1
12435.0,9.0,4,6096.04,1
12437.0,30.0,28,7498.19,1
12440.0,125.0,3,768.15,1
12441.0,122.0,1,173.55,1
12443.0,518.0,1,485.31,0
12445.0,244.0,2,293.08000000000004,0
12450.0,215.0,5,469.07,0
12451.0,306.0,4,3613.0099999999998,0
12454.0,92.0,7,4292.71,1
12455.0,37.0,4,3413.09,1
12458.0,95.0,2,830.09,1
12460.0,94.0,1,326.65,1
12467.0,2.0,2,0.0,1
12468.0,99.0,7,2900.5099999999998,1
12469.0,219.0,2,3070.54,0
12471.0,2.0,81,19207.69,3
12472.0,5.0,26,10727.21,1
12474.0,1.0,25,4849.98,1
12476.0,1.0,18,7169.04,1
12477.0,215.0,3,7056.63,0
12480.0,124.0,4,2153.4700000000003,1
12481.0,8.0,8,6626.17,1
12482.0,7.0,32,21893.53,3
12483.0,70.0,14,2519.7400000000002,1
12484.0,279.0,8,1808.58,0
12486.0,246.0,1,1037.28,0
12487.0,456.0,2,259.79999999999995,0
12490.0,100.0,12,4400.71,1
12492.0,335.0,1,452.0,0
12494.0,7.0,5,604.17,1
12495.0,100.0,2,323.4,1
12497.0,223.0,3,5168.650000000001,0
12500.0,9.0,12,1666.04,1
12503.0,251.0,1,1126.0,0
12505.0,30.0,2,912.5,1
12507.0,251.0,1,539.25,0
12510.0,41.0,14,2706.76,1
12511.0,155.0,2,3065.77,1
12514.0,131.0,1,580.08,1
12516.0,216.0,2,1336.56,0
12519.0,337.0,2,354.35,0
12523.0,9.0,17,2475.28,1
12524.0,131.0,10,6605.64,1
12525.0,67.0,8,835.1800000000001,1
12527.0,307.0,2,386.8,0
12529.0,219.0,2,311.78000000000003,0
12530.0,162.0,7,2066.23,1
12533.0,41.0,6,1149.99,1
12540.0,72.0,17,8798.25,1
12542.0,3.0,4,423.38,1
12549.0,11.0,6,1575.68,1
12553.0,2.0,3,896.57,1
12557.0,36.0,4,6725.18,1
12567.0,40.0,8,4278.88,1
12568.0,223.0,1,70.0,0
12573.0,32.0,4,556.87,1
12575.0,125.0,2,622.8199999999999,1
12576.0,1.0,5,776.89,1
12577.0,639.0,5,995.9499999999999,0
12578.0,155.0,3,1819.0900000000001,1
12580.0,7.0,1,637.2,1
12582.0,37.0,2,1469.04,1
